date,open,high,low,close,volume
2005-01-04,997.273,997.273,977.55,981.182,113349900
2005-01-05,980.482,991.428,974.979,985.459,90414400
2005-01-06,986.23,986.741,971.733,976.057,94220800
2005-01-07,975.656,989.122,972.617,982.918,92898600
2005-01-10,981.195,989.252,976.521,988.166,75806700
2005-01-11,988.161,994.393,985.819,989.988,73636900
2005-01-12,990.374,990.374,982.924,988.353,62637200
2005-01-13,988.171,991.477,983.974,988.504,74406300
2005-01-14,988.899,1000.838,981.441,983.534,88100300
2005-01-17,976.16,977.924,958.298,959.567,112948100
2005-01-18,958.512,966.086,950.797,964.722,124311000
2005-01-19,963.995,964.035,956.66,959.127,87902800
2005-01-20,954.306,957.813,947.172,952.423,119397700
2005-01-21,950.689,982.588,946.753,980.389,203149600
2005-01-24,996.593,1002.735,982.939,995.501,198321400
2005-01-25,992.588,1000.958,983.92,1000.481,138691100
2005-01-26,999.074,1000.857,990.41,992.152,95040600
2005-01-27,990.975,991.122,977.21,979.558,92201100
2005-01-28,977.585,979.193,968.609,971.96,81745600
2005-01-31,970.078,973.875,961.257,962.9,98125000
2005-02-01,961.187,974.002,960.093,965.282,102358000
2005-02-02,965.793,1015.793,965.793,1015.563,275948300
2005-02-03,1015.58,1027.789,1001.281,1009.4,307775800
2005-02-04,1007.228,1037.341,1004.065,1032.173,309292500
2005-02-16,1038.294,1049.453,1031.488,1039.818,235186900
2005-02-17,1040.276,1040.276,1024.589,1032.372,140762500
2005-02-18,1031.528,1034.52,1016.666,1016.994,132508900
2005-02-21,1016.928,1037.754,1016.928,1037.464,148049200
2005-02-22,1037.928,1057.59,1034.233,1054.066,278488600
2005-02-23,1054.258,1058.662,1043.291,1052.909,307722800
2005-02-24,1051.069,1053.295,1040.309,1052.304,269892000
2005-02-25,1054.591,1066.032,1051.735,1052.356,301402400
2005-02-28,1050.817,1054.962,1038.491,1044.448,213945000
2005-03-01,1044.151,1045.841,1035.728,1038.291,151737900
2005-03-02,1038.578,1045.491,1018.766,1019.315,258105600
2005-03-03,1016.942,1028.571,1012.808,1027.63,154473600
2005-03-04,1027.91,1030.513,1019.578,1021.305,117984100
2005-03-07,1022.06,1027.618,1019.208,1025.32,132434900
2005-03-08,1028.455,1042.455,1027.393,1042.22,218434400
2005-03-09,1044.418,1049.306,1037.868,1044.422,232138300
2005-03-10,1044.324,1044.663,1017.806,1019.438,181266300
2005-03-11,1017.636,1024.898,1014.071,1023.994,174788800
2005-03-14,1024.122,1039.044,1012.155,1028.625,216040500
2005-03-15,1028.53,1029.404,1006.003,1007.429,189880400
2005-03-16,1005.814,1007.831,992.192,1000.251,157279400
2005-03-17,1000.601,1000.601,985.078,986.174,140461300
2005-03-18,985.726,988.769,974.276,975.696,152543000
2005-03-21,975.999,982.682,974.458,980.707,124982700
2005-03-22,979.851,981.415,965.83,968.313,171177600
2005-03-23,967.419,973.388,956.381,959.876,163380100
2005-03-24,959.322,968.212,952.157,967.407,117126000
2005-03-25,967.022,970.815,961.111,965.416,100472000
2005-03-28,965.172,965.637,953.722,964.941,94342400
2005-03-29,964.864,971.613,959.374,960.126,100209500
2005-03-30,958.342,958.342,945.937,947.264,120717000
2005-03-31,943.552,951.411,934.987,951.063,128636600
2005-04-01,950.04,994.826,945.24,982.742,273626900
2005-04-04,974.313,978.944,963.223,963.604,173283300
2005-04-05,960.45,968.566,951.389,952.705,140206700
2005-04-06,951.883,970.812,946.012,964.733,211437600
2005-04-07,966.194,987.702,961.872,971.149,304047600
2005-04-08,971.355,989.494,965.185,989.072,186198600
2005-04-11,989.18,992.255,979.629,983.877,248107800
2005-04-12,980.804,981.695,969.793,970.752,141375300
2005-04-13,980.389,999.808,980.389,995.041,289866100
2005-04-14,1000.736,1002.415,987.458,988.564,210094300
2005-04-15,985.85,985.85,974.721,977.553,183536000
2005-04-18,974.919,976.078,958.885,963.623,171997500
2005-04-19,962.317,967.992,955.465,961.523,191601000
2005-04-20,960.815,961.749,948.031,955.561,117154000
2005-04-21,954.368,957.789,942.282,947.14,121828400
2005-04-22,945.348,952.17,942.433,947.879,126342700
2005-04-25,946.4,946.635,932.042,939.673,138751100
2005-04-26,938.468,948.07,933.421,942.135,135992200
2005-04-27,931.545,934.389,919.7,920.384,220535700
2005-04-28,915.616,929.76,906.373,926.343,243893200
2005-04-29,925.536,927.126,913.803,916.095,154048000
2005-05-09,916.63,923.267,898.364,898.543,169824800
2005-05-10,897.284,904.789,887.263,904.663,141603500
2005-05-11,903.608,909.192,895.659,896.517,117845600
2005-05-12,895.426,896.106,872.071,873.193,216651600
2005-05-13,871.816,887.18,861.788,869.601,267170300
2005-05-16,868.108,868.732,850.265,859.829,153025100
2005-05-17,857.462,873.004,852.39,863.854,156645800
2005-05-18,863.864,871.511,855.521,864.976,112394900
2005-05-19,864.532,868.181,849.901,864.743,177614700
2005-05-20,863.156,870.401,858.192,863.706,117408800
2005-05-23,860.591,860.591,838.862,839.164,130021200
2005-05-24,836.676,841.849,822.651,838.402,202364700
2005-05-25,837.819,845.556,832.01,837.352,115858400
2005-05-26,836.614,843.209,828.749,830.965,109780300
2005-05-27,829.344,838.311,824.121,825.848,123114800
2005-05-30,824.564,834.962,819.319,831.888,115940100
