date,open,high,low,price_close,volume,close
2026-06-08,1.158,1.167,1.155,1.165,7202209,1.165
2026-06-05,1.16,1.17,1.16,1.16,5178363,1.16
2026-06-04,1.17,1.17,1.16,1.16,6075092,1.16
2026-06-03,1.18,1.18,1.16,1.17,8019358,1.17
2026-06-02,1.18,1.19,1.18,1.18,7373936,1.18
2026-06-01,1.17,1.18,1.16,1.18,8183643,1.18
2026-05-29,1.14,1.17,1.14,1.17,7962365,1.17
2026-05-28,1.15,1.16,1.14,1.14,6535306,1.14
2026-05-27,1.16,1.16,1.15,1.15,6381913,1.15
2026-05-26,1.15,1.16,1.15,1.16,5158246,1.16
2026-05-25,1.15,1.16,1.15,1.15,5209176,1.15
2026-05-22,1.16,1.16,1.15,1.16,8157214,1.16
2026-05-21,1.16,1.17,1.16,1.16,3862617,1.16
2026-05-20,1.17,1.17,1.16,1.16,4453389,1.16
2026-05-19,1.16,1.17,1.16,1.17,4559820,1.17
2026-05-18,1.16,1.17,1.16,1.16,6970855,1.16
2026-05-15,1.18,1.18,1.16,1.17,7292359,1.17
2026-05-14,1.18,1.18,1.17,1.18,4758781,1.18
2026-05-13,1.18,1.18,1.17,1.18,5106468,1.18
2026-05-12,1.18,1.18,1.17,1.18,6080718,1.18
2026-05-11,1.18,1.18,1.17,1.18,6552670,1.18
2026-05-08,1.18,1.18,1.18,1.18,4717912,1.18
2026-05-07,1.18,1.18,1.18,1.18,7595759,1.18
2026-05-06,1.19,1.19,1.18,1.18,7710497,1.18
2026-04-30,1.2,1.2,1.19,1.19,7508592,1.19
2026-04-29,1.19,1.2,1.19,1.2,5064006,1.2
2026-04-28,1.19,1.19,1.19,1.19,4919056,1.19
2026-04-27,1.2,1.2,1.19,1.19,7054988,1.19
2026-04-24,1.2,1.2,1.19,1.2,6349638,1.2
2026-04-23,1.19,1.2,1.19,1.2,5038457,1.2
2026-04-22,1.2,1.2,1.19,1.19,3267805,1.19
2026-04-21,1.19,1.2,1.19,1.2,5004676,1.2
2026-04-20,1.18,1.19,1.18,1.19,5538224,1.19
2026-04-17,1.19,1.19,1.18,1.18,5409391,1.18
2026-04-16,1.19,1.19,1.19,1.19,4883968,1.19
2026-04-15,1.18,1.19,1.18,1.19,6669198,1.19
2026-04-14,1.18,1.18,1.18,1.18,4521595,1.18
2026-04-13,1.18,1.18,1.17,1.18,5911433,1.18
2026-04-10,1.18,1.19,1.18,1.18,5183802,1.18
2026-04-09,1.19,1.19,1.18,1.18,4827044,1.18
2026-04-08,1.18,1.19,1.18,1.19,7059633,1.19
2026-04-07,1.19,1.19,1.18,1.18,5622955,1.18
2026-04-03,1.2,1.2,1.18,1.19,9041118,1.19
2026-04-02,1.2,1.2,1.2,1.2,7076669,1.2
2026-04-01,1.2,1.21,1.2,1.2,5824470,1.2
2026-03-31,1.19,1.21,1.19,1.2,6383125,1.2
2026-03-30,1.18,1.19,1.18,1.19,6215118,1.19
2026-03-27,1.18,1.19,1.18,1.18,6031973,1.18
2026-03-26,1.19,1.19,1.18,1.19,5264498,1.19
2026-03-25,1.18,1.19,1.17,1.19,8438105,1.19
2026-03-24,1.16,1.18,1.16,1.18,7750521,1.18
2026-03-23,1.19,1.19,1.15,1.16,12345276,1.16
2026-03-20,1.2,1.21,1.2,1.2,5743151,1.2
2026-03-19,1.2,1.21,1.2,1.2,5873747,1.2
2026-03-18,1.21,1.21,1.2,1.2,7544368,1.2
2026-03-17,1.2,1.21,1.2,1.21,4753267,1.21
2026-03-16,1.21,1.21,1.2,1.21,7622685,1.21
2026-03-13,1.2,1.21,1.2,1.21,5583094,1.21
2026-03-12,1.2,1.21,1.19,1.2,4795029,1.2
2026-03-11,1.18,1.2,1.18,1.2,6019153,1.2
2026-03-10,1.18,1.19,1.18,1.19,4527513,1.19
2026-03-09,1.19,1.2,1.18,1.19,11680920,1.19
2026-03-06,1.18,1.19,1.18,1.19,5805774,1.19
2026-03-05,1.18,1.19,1.17,1.18,5721435,1.18
2026-03-04,1.19,1.19,1.17,1.18,11109682,1.18
2026-03-03,1.18,1.2,1.18,1.2,12015156,1.2
2026-03-02,1.17,1.18,1.17,1.18,7777120,1.18
2026-02-27,1.17,1.17,1.17,1.17,4455340,1.17
2026-02-26,1.17,1.18,1.16,1.17,4992802,1.17
2026-02-25,1.17,1.18,1.17,1.17,8081199,1.17
2026-02-24,1.17,1.18,1.17,1.17,4393234,1.17
2026-02-13,1.18,1.18,1.17,1.17,6457655,1.17
2026-02-12,1.19,1.19,1.18,1.18,5988615,1.18
2026-02-11,1.19,1.19,1.18,1.19,3963651,1.19
2026-02-10,1.18,1.19,1.18,1.19,4070762,1.19
2026-02-09,1.18,1.18,1.17,1.18,6036145,1.18
2026-02-06,1.18,1.18,1.17,1.18,6821132,1.18
2026-02-05,1.17,1.18,1.17,1.18,7544416,1.18
2026-02-04,1.15,1.17,1.15,1.17,6182244,1.17
2026-02-03,1.15,1.16,1.14,1.15,7543115,1.15
2026-02-02,1.17,1.17,1.15,1.15,8253242,1.15
2026-01-30,1.17,1.18,1.16,1.17,8147957,1.17
2026-01-29,1.15,1.17,1.15,1.17,7554576,1.17
2026-01-28,1.15,1.16,1.14,1.15,6196813,1.15
2026-01-27,1.16,1.16,1.15,1.15,7648733,1.15
2026-01-26,1.15,1.16,1.15,1.16,6298648,1.16
2026-01-23,1.15,1.15,1.15,1.15,5650693,1.15
2026-01-22,1.15,1.16,1.15,1.15,5914032,1.15
2026-01-21,1.16,1.16,1.15,1.15,7879853,1.15
2026-01-20,1.14,1.16,1.14,1.16,9913432,1.16
2026-01-19,1.14,1.15,1.14,1.14,6576319,1.14
2026-01-16,1.15,1.16,1.14,1.14,9197519,1.14
2026-01-15,1.16,1.16,1.15,1.15,5218086,1.15
2026-01-14,1.17,1.17,1.16,1.16,8290457,1.16
2026-01-13,1.16,1.17,1.16,1.17,9470158,1.17
2026-01-12,1.16,1.16,1.16,1.16,8296798,1.16
2026-01-09,1.16,1.16,1.16,1.16,6631652,1.16
2026-01-08,1.17,1.17,1.16,1.16,6509507,1.16
2026-01-07,1.17,1.18,1.17,1.17,4592864,1.17
2026-01-06,1.17,1.18,1.17,1.17,10032780,1.17
2026-01-05,1.18,1.18,1.17,1.17,8092287,1.17
2025-12-31,1.18,1.18,1.17,1.18,5660129,1.18
2025-12-30,1.17,1.18,1.17,1.18,4073740,1.18
2025-12-29,1.18,1.18,1.17,1.18,4846698,1.18
2025-12-26,1.18,1.18,1.17,1.18,3933813,1.18
2025-12-25,1.18,1.18,1.17,1.18,4429043,1.18
2025-12-24,1.17,1.18,1.17,1.18,4398274,1.18
2025-12-23,1.17,1.18,1.17,1.17,4337250,1.17
2025-12-22,1.18,1.18,1.17,1.17,6357585,1.17
2025-12-19,1.18,1.19,1.18,1.18,6132646,1.18
2025-12-18,1.17,1.18,1.17,1.18,5226024,1.18
2025-12-17,1.17,1.17,1.16,1.17,4226664,1.17
2025-12-16,1.18,1.18,1.17,1.17,5148522,1.17
2025-12-15,1.17,1.18,1.17,1.18,4931181,1.18
2025-12-12,1.17,1.18,1.17,1.17,5209792,1.17
2025-12-11,1.18,1.18,1.17,1.17,5626899,1.17
2025-12-10,1.18,1.19,1.17,1.18,3655979,1.18
2025-12-09,1.19,1.19,1.18,1.18,8161288,1.18
2025-12-08,1.19,1.19,1.19,1.19,4434785,1.19
2025-12-05,1.2,1.2,1.19,1.19,6553025,1.19
2025-12-04,1.2,1.21,1.2,1.2,4941449,1.2
2025-12-03,1.21,1.21,1.2,1.2,6457395,1.2
2025-12-02,1.21,1.21,1.21,1.21,4214352,1.21
2025-12-01,1.2,1.21,1.2,1.21,6444586,1.21
2025-11-28,1.2,1.21,1.2,1.2,4166746,1.2
2025-11-27,1.2,1.21,1.2,1.21,4216893,1.21
2025-11-26,1.21,1.21,1.2,1.2,5695181,1.2
2025-11-25,1.2,1.21,1.2,1.21,6934672,1.21
2025-11-24,1.21,1.22,1.2,1.2,4471537,1.2
2025-11-21,1.22,1.23,1.21,1.21,9356392,1.21
2025-11-20,1.22,1.24,1.21,1.23,7238702,1.23
2025-11-19,1.22,1.22,1.22,1.22,8773761,1.22
2025-11-18,1.22,1.23,1.21,1.22,6242098,1.22
2025-11-17,1.23,1.24,1.22,1.22,5085945,1.22
2025-11-14,1.24,1.25,1.24,1.24,4355600,1.24
2025-11-13,1.24,1.25,1.23,1.24,5095052,1.24
2025-11-12,1.23,1.25,1.23,1.24,5601328,1.24
2025-11-11,1.23,1.23,1.22,1.23,3913158,1.23
2025-11-10,1.22,1.23,1.21,1.23,4970860,1.23
2025-11-07,1.22,1.22,1.22,1.22,4024036,1.22
2025-11-06,1.22,1.22,1.21,1.22,3750806,1.22
2025-11-05,1.22,1.22,1.21,1.22,4830508,1.22
2025-11-04,1.2,1.22,1.2,1.22,7514109,1.22
2025-11-03,1.19,1.21,1.19,1.2,4588786,1.2
2025-10-31,1.19,1.19,1.18,1.19,4510713,1.19
2025-10-30,1.19,1.2,1.19,1.19,4435020,1.19
2025-10-29,1.2,1.2,1.18,1.19,5805445,1.19
2025-10-28,1.2,1.2,1.19,1.2,3646976,1.2
2025-10-27,1.19,1.2,1.19,1.2,8211433,1.2
2025-10-24,1.2,1.21,1.2,1.2,7254640,1.2
2025-10-23,1.2,1.21,1.2,1.21,3893271,1.21
2025-10-22,1.19,1.2,1.19,1.2,4210273,1.2
2025-10-21,1.18,1.19,1.18,1.19,5811620,1.19
