date,close
2016-04-18,257.29
2016-04-19,259.97
2016-04-20,261.82
2016-04-21,260.41
2016-04-24,258.8
2016-04-25,258.53
2016-04-26,259.9
2016-04-27,261.88
2016-04-28,265.54
2016-05-02,269.06
2016-05-03,268.02
2016-05-04,267.97
2016-05-05,267.52
2016-05-08,268.27
2016-05-09,265.72
2016-05-10,267.09
2016-05-11,266.5
2016-05-12,267.51
2016-05-15,269.39
2016-05-16,267.85
2016-05-17,268.15
2016-05-18,264.47
2016-05-19,264.46
2016-05-22,263.96
2016-05-23,262.98
2016-05-24,258.68
2016-05-25,259.6
2016-05-26,258.36
2016-05-29,254.94
2016-05-30,257.26
2016-05-31,258.17
2016-06-01,257.56
2016-06-02,257.01
2016-06-05,262.51
2016-06-06,263.17
2016-06-07,264.66
2016-06-12,271.99
2016-06-13,271.15
2016-06-14,273.14
2016-06-15,277.07
2016-06-16,272.38
2016-06-19,272.19
2016-06-20,271.86
2016-06-21,268.0
2016-06-22,268.66
2016-06-23,278.92
2016-06-26,283.43
2016-06-27,282.15
2016-06-28,282.87
2016-06-29,281.78
2016-06-30,285.5
2016-07-03,290.01
2016-07-04,288.48
2016-07-05,295.0
2016-07-06,294.43
2016-07-07,292.05
2016-07-10,293.48
2016-07-11,291.86
2016-07-12,288.16
2016-07-13,287.6
2016-07-14,286.62
2016-07-17,286.77
2016-07-18,286.57
2016-07-19,286.5
2016-07-20,282.96
2016-07-21,284.88
2016-07-24,283.41
2016-07-25,283.71
2016-07-26,283.17
2016-07-27,287.55
2016-07-28,286.01
2016-07-31,287.95
2016-08-01,289.32
2016-08-02,291.42
2016-08-03,289.08
2016-08-04,292.05
2016-08-07,286.54
2016-08-08,285.87
2016-08-09,289.47
2016-08-10,287.36
2016-08-11,286.95
2016-08-14,286.97
2016-08-15,288.47
2016-08-16,287.39
2016-08-17,288.84
2016-08-18,288.68
2016-08-21,286.29
2016-08-22,286.56
2016-08-23,286.73
2016-08-24,284.52
2016-08-25,284.44
2016-08-28,283.68
2016-08-29,284.56
2016-08-30,282.78
2016-08-31,281.63
2016-09-01,282.5
2016-09-04,285.24
2016-09-05,285.73
2016-09-06,290.13
2016-09-07,289.35
2016-09-08,287.75
2016-09-11,286.04
2016-09-12,286.14
2016-09-13,284.41
2016-09-18,283.49
2016-09-19,283.29
2016-09-20,284.17
2016-09-21,286.63
2016-09-22,286.95
2016-09-25,287.06
2016-09-26,286.85
2016-09-27,285.02
2016-09-28,284.4
2016-09-29,284.88
2016-10-09,273.07
2016-10-10,272.9
2016-10-11,272.36
2016-10-12,273.81
2016-10-13,272.68
2016-10-16,273.03
2016-10-17,273.84
2016-10-18,274.43
2016-10-19,276.34
2016-10-20,275.58
2016-10-23,276.41
2016-10-24,276.93
2016-10-25,278.55
2016-10-26,277.64
2016-10-27,277.78
2016-10-30,279.25
2016-10-31,279.95
2016-11-01,282.08
2016-11-02,283.75
2016-11-03,283.0
2016-11-06,281.99
2016-11-07,280.9
2016-11-08,288.63
2016-11-09,282.7
2016-11-10,277.87
2016-11-13,269.5
2016-11-14,272.48
2016-11-15,274.03
2016-11-16,273.11
2016-11-17,270.34
2016-11-20,271.74
2016-11-21,273.49
2016-11-22,272.72
2016-11-23,269.95
2016-11-24,266.77
2016-11-27,270.23
2016-11-28,269.28
2016-11-29,267.74
2016-11-30,265.59
2016-12-01,265.15
2016-12-04,265.48
2016-12-05,264.59
2016-12-06,264.39
2016-12-07,266.7
2016-12-08,265.82
2016-12-11,264.12
2016-12-12,264.93
2016-12-13,264.99
2016-12-14,263.45
2016-12-15,261.75
2016-12-18,262.78
2016-12-19,262.19
2016-12-20,260.77
2016-12-21,259.34
2016-12-22,259.85
2016-12-25,260.4
2016-12-26,261.05
2016-12-27,262.04
2016-12-28,262.58
2016-12-29,264.7
2017-01-02,264.3
2017-01-03,264.77
2017-01-04,264.87
2017-01-05,264.97
2017-01-08,265.71
2017-01-09,268.41
2017-01-10,269.0
2017-01-11,269.25
2017-01-12,268.96
2017-01-15,270.15
2017-01-16,272.18
2017-01-17,271.12
2017-01-18,268.26
2017-01-19,268.92
2017-01-22,270.74
2017-01-23,269.7
2017-01-24,267.84
2017-01-25,266.82
2017-02-02,269.52
2017-02-05,271.92
2017-02-06,274.38
2017-02-07,275.01
2017-02-08,276.5
2017-02-09,273.14
2017-02-12,274.26
2017-02-13,274.1
2017-02-14,273.34
2017-02-15,274.79
2017-02-16,275.89
2017-02-19,275.04
2017-02-20,275.19
2017-02-21,275.8
2017-02-22,275.93
2017-02-23,279.76
2017-02-26,280.57
2017-02-27,279.65
2017-02-28,278.11
2017-03-01,278.27
2017-03-02,276.09
2017-03-05,276.61
2017-03-06,275.49
2017-03-07,274.09
2017-03-08,271.92
2017-03-09,270.31
2017-03-12,272.49
2017-03-13,271.47
2017-03-14,271.58
2017-03-15,275.79
2017-03-16,275.78
2017-03-19,276.93
2017-03-20,275.98
2017-03-21,278.46
2017-03-22,278.38
2017-03-23,277.94
2017-03-26,280.61
2017-03-27,280.17
2017-03-28,279.64
2017-03-29,279.7
2017-03-30,277.99
2017-04-04,280.03
2017-04-05,280.42
2017-04-06,283.18
2017-04-09,281.52
2017-04-10,281.53
2017-04-11,284.53
2017-04-12,286.25
2017-04-13,286.8
2017-04-16,286.48
2017-04-17,286.03
2017-04-18,285.75
2017-04-19,285.23
2017-04-20,285.11
2017-04-23,283.49
2017-04-24,283.39
2017-04-25,282.17
2017-04-26,282.81
2017-04-27,282.67
2017-05-01,280.79
2017-05-02,280.04
2017-05-03,276.41
2017-05-04,275.73
2017-05-07,275.3
2017-05-08,274.59
2017-05-09,273.91
2017-05-10,274.02
2017-05-11,274.9
2017-05-14,275.73
2017-05-15,276.49
2017-05-16,277.63
2017-05-17,280.6
2017-05-18,279.28
2017-05-21,279.76
2017-05-22,281.41
2017-05-23,278.55
2017-05-24,280.04
2017-05-25,279.6
2017-05-30,278.9
2017-05-31,278.63
2017-06-01,277.96
2017-06-04,281.35
2017-06-05,282.97
2017-06-06,283.67
2017-06-07,283.13
2017-06-08,280.3
2017-06-11,278.7
2017-06-12,278.36
2017-06-13,279.07
2017-06-14,277.37
2017-06-15,276.75
2017-06-18,276.18
2017-06-19,275.91
2017-06-20,275.69
2017-06-21,277.3
2017-06-22,277.76
2017-06-25,278.03
2017-06-26,276.41
2017-06-27,276.11
2017-06-28,275.59
2017-06-29,273.0
2017-07-02,271.87
2017-07-03,269.73
2017-07-04,270.0
2017-07-05,270.35
2017-07-06,269.52
2017-07-09,266.45
2017-07-10,267.3
2017-07-11,268.58
2017-07-12,268.9
2017-07-13,267.99
2017-07-16,270.16
2017-07-17,271.17
2017-07-18,271.39
2017-07-19,271.36
2017-07-20,272.69
2017-07-23,273.84
2017-07-24,274.4
2017-07-25,271.95
2017-07-26,274.74
2017-07-27,274.79
2017-07-30,275.46
2017-07-31,275.37
2017-08-01,274.95
2017-08-02,274.22
2017-08-03,275.47
2017-08-06,273.31
2017-08-07,272.7
2017-08-08,273.69
2017-08-09,275.77
2017-08-10,276.86
2017-08-13,276.79
2017-08-14,274.81
2017-08-15,274.62
2017-08-16,277.03
2017-08-17,277.46
2017-08-20,277.02
2017-08-21,276.92
2017-08-22,276.92
2017-08-23,277.25
2017-08-24,276.93
2017-08-27,277.98
2017-08-28,281.08
2017-08-29,278.35
2017-08-30,277.69
2017-08-31,280.2
2017-09-03,282.11
2017-09-04,281.62
2017-09-05,281.79
2017-09-06,281.35
2017-09-07,281.65
2017-09-10,280.95
2017-09-11,279.84
2017-09-12,280.35
2017-09-13,279.45
2017-09-14,280.84
2017-09-17,278.98
2017-09-18,278.5
2017-09-19,278.8
2017-09-20,276.72
2017-09-21,276.39
2017-09-24,276.25
2017-09-25,280.78
2017-09-26,278.33
2017-09-27,276.31
2017-09-28,277.52
2017-10-08,276.23
2017-10-09,275.86
2017-10-10,275.35
2017-10-11,276.46
2017-10-12,276.33
2017-10-15,277.48
2017-10-16,276.39
2017-10-17,275.38
2017-10-18,274.66
2017-10-19,274.96
2017-10-22,274.04
2017-10-23,274.94
2017-10-24,273.72
2017-10-25,274.76
2017-10-26,273.07
2017-10-29,273.23
2017-10-30,273.67
2017-10-31,273.36
2017-11-01,273.21
2017-11-02,273.61
2017-11-05,273.13
2017-11-06,274.39
2017-11-07,274.41
2017-11-08,275.3
2017-11-09,276.15
2017-11-12,274.79
2017-11-13,274.38
2017-11-14,274.92
2017-11-15,274.3
2017-11-16,274.97
2017-11-19,276.4
2017-11-20,274.74
2017-11-21,274.68
2017-11-22,274.96
2017-11-23,275.01
2017-11-26,275.17
2017-11-27,275.99
2017-11-28,276.09
2017-11-29,274.14
2017-11-30,272.85
2017-12-03,272.36
2017-12-04,272.83
2017-12-05,271.19
2017-12-06,269.71
2017-12-07,267.66
2017-12-10,267.79
2017-12-11,267.05
2017-12-12,267.09
2017-12-13,269.69
2017-12-14,269.39
2017-12-17,269.66
2017-12-18,271.26
2017-12-19,270.25
2017-12-20,270.01
2017-12-21,270.32
2017-12-24,271.98
2017-12-25,272.12
2017-12-26,272.74
2017-12-27,274.01
2017-12-28,273.75
2018-01-01,275.0
2018-01-02,276.63
2018-01-03,275.53
2018-01-04,276.59
2018-01-07,276.59
2018-01-08,277.23
2018-01-09,276.55
2018-01-10,277.91
2018-01-11,278.53
2018-01-14,279.23
2018-01-15,278.95
2018-01-16,278.14
2018-01-17,276.76
2018-01-18,275.65
2018-01-21,276.19
2018-01-22,276.77
2018-01-23,277.59
2018-01-24,279.1
2018-01-25,277.17
2018-01-28,276.11
2018-01-29,273.66
2018-01-30,274.19
2018-01-31,273.65
2018-02-01,273.78
2018-02-04,271.26
2018-02-05,272.95
2018-02-06,269.22
2018-02-07,268.47
2018-02-08,269.93
2018-02-11,269.92
2018-02-12,271.07
2018-02-13,273.27
2018-02-21,271.77
2018-02-22,272.17
2018-02-25,273.42
2018-02-26,272.07
2018-02-27,269.95
2018-02-28,269.74
2018-03-01,270.93
2018-03-04,271.8
2018-03-05,271.56
2018-03-06,272.57
2018-03-07,271.74
2018-03-08,270.6
2018-03-11,270.86
2018-03-12,270.54
2018-03-13,271.25
2018-03-14,270.79
2018-03-15,269.8
2018-03-18,268.33
2018-03-19,269.46
2018-03-20,269.05
2018-03-21,271.71
2018-03-22,273.93
2018-03-25,274.64
2018-03-26,273.97
2018-03-27,272.63
2018-03-28,270.18
2018-03-29,270.08
2018-04-01,270.13
2018-04-02,272.54
2018-04-03,271.88
2018-04-08,271.47
2018-04-09,271.49
2018-04-10,272.69
2018-04-11,274.03
2018-04-12,271.91
2018-04-15,273.02
2018-04-16,273.34
2018-04-17,273.17
2018-04-18,273.62
2018-04-19,272.73
2018-04-22,271.6
2018-04-23,270.97
2018-04-24,270.69
2018-04-25,271.08
2018-04-26,270.1
2018-05-01,269.18
2018-05-02,269.56
2018-05-03,269.53
2018-05-06,270.26
2018-05-07,270.02
2018-05-08,269.84
2018-05-09,270.14
2018-05-10,270.36
2018-05-13,270.49
2018-05-14,269.08
2018-05-15,266.46
2018-05-16,265.58
2018-05-17,265.56
2018-05-20,265.29
2018-05-21,265.77
2018-05-22,265.88
2018-05-23,267.33
2018-05-24,268.69
2018-05-27,267.68
2018-05-28,268.84
2018-05-29,269.37
2018-05-30,269.54
2018-05-31,268.99
2018-06-03,267.71
2018-06-04,267.3
2018-06-05,268.02
2018-06-06,267.78
2018-06-07,267.96
2018-06-10,268.46
2018-06-11,268.28
2018-06-12,267.91
2018-06-13,268.48
2018-06-14,269.1
2018-06-18,267.13
2018-06-19,266.24
2018-06-20,265.32
2018-06-21,266.37
2018-06-24,267.08
2018-06-25,267.24
2018-06-26,267.46
2018-06-27,267.5
2018-06-28,267.12
2018-07-01,267.72
2018-07-02,267.96
2018-07-03,268.7
2018-07-04,268.65
